Time [s], Analyzer Name, Decoded Protocol Result
14.643118875000001,Async Serial,0xFF
14.653041937499999,Async Serial,0x03
14.662239625000000,Async Serial,0xD5
14.695885937500000,Async Serial,0x08
14.705834625000000,Async Serial,0x21
14.715888124999999,Async Serial,0x31
14.725837312499999,Async Serial,0x0B
14.735787374999999,Async Serial,0x00
14.745736000000001,Async Serial,0x00
14.755686000000001,Async Serial,0x23
14.765635874999999,Async Serial,0xE4
14.775688437499999,Async Serial,0x90
14.824198187500000,Async Serial,0x09
14.834017312500000,Async Serial,0x31
14.872568937500001,Async Serial,0x05
14.883007624999999,Async Serial,0x31
14.893033062500001,Async Serial,0x21
14.903471937500001,Async Serial,0xFF
14.913394687500000,Async Serial,0x03
14.924452562500001,Async Serial,0xD5
14.964934937500001,Async Serial,0x06
14.974988562500000,Async Serial,0x21
14.984937499999999,Async Serial,0x31
14.994887374999999,Async Serial,0x29
15.004836437500000,Async Serial,0x00
15.014889875000000,Async Serial,0xE0
15.024735124999999,Async Serial,0xCB
15.073491937500000,Async Serial,0x09
15.113284187500000,Async Serial,0x05
15.123928562500000,Async Serial,0x31
15.134368500000001,Async Serial,0x21
15.144186625000000,Async Serial,0xFF
15.153385562500000,Async Serial,0x03
15.165270937500001,Async Serial,0xD5
15.204136125000000,Async Serial,0x05
15.214190187500000,Async Serial,0x21
15.224035062500000,Async Serial,0x31
15.234089125000001,Async Serial,0x06
15.244037812500000,Async Serial,0x60
15.253987812500000,Async Serial,0x83
15.307180875000000,Async Serial,0x09
15.343873562500001,Async Serial,0x09
15.354415812499999,Async Serial,0x31
15.364856562500000,Async Serial,0x21
15.374675999999999,Async Serial,0xFB
15.383977124999999,Async Serial,0x00
15.395863937500000,Async Serial,0x00
15.405682000000001,Async Serial,0x00
15.413847625000001,Async Serial,0x00
15.424389625000000,Async Serial,0xF3
15.434312125000000,Async Serial,0xCC
15.524540812500000,Async Serial,0x09
15.536634062499999,Async Serial,0x31
15.545729000000000,Async Serial,0x21
15.554721812500000,Async Serial,0x05
15.567640562499999,Async Serial,0x00
15.574255624999999,Async Serial,0x00
15.584590875000000,Async Serial,0x00
15.594927187500000,Async Serial,0x00
15.604744937500000,Async Serial,0x5B
15.614669812500001,Async Serial,0x9F
15.652587625000001,Async Serial,0x05
15.662536250000000,Async Serial,0x21
15.672487312499999,Async Serial,0x31
15.682539437499999,Async Serial,0xFF
15.692489937500000,Async Serial,0x62
15.702437874999999,Async Serial,0x95
